"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc_affluenza","pos_candidato","cognome","nome","voti_candidato","perc_candidato","eletto","pos_lista","nome_lista","voti_lista","perc_lista"
"030120410","016043","B393","CALCINATE","0410","BERGAMO","012","LOMBARDIA","03",2205,2364,4569,1368,1406,2774,60.71,1,"BONI","LORENA",1122,41.63,"S",1,"CONTROCORRENTE PER CALCINATE",1122,41.63
"030120410","016043","B393","CALCINATE","0410","BERGAMO","012","LOMBARDIA","03",2205,2364,4569,1368,1406,2774,60.71,3,"ORLANDO","ANGELO",829,30.76,NA,3,"CALCINATE PIU'",829,30.76
"030120410","016043","B393","CALCINATE","0410","BERGAMO","012","LOMBARDIA","03",2205,2364,4569,1368,1406,2774,60.71,2,"TAIOCCHI","PAOLA",744,27.61,NA,2,"CALCINATE AL CENTRO",744,27.61
"030120470","016049","B618","CANONICA D'ADDA","0470","BERGAMO","012","LOMBARDIA","03",1650,1689,3339,754,734,1488,44.56,2,"ARCARI","PAOLO GIULIO",887,62.16,"S",2,"CANONICA CIVICA",887,62.16
"030120470","016049","B618","CANONICA D'ADDA","0470","BERGAMO","012","LOMBARDIA","03",1650,1689,3339,754,734,1488,44.56,1,"PREVITALI","CLARA",540,37.84,NA,1,"COLORIAMO CANONICA",540,37.84
"030120620","016064","C324","CASTIONE DELLA PRESOLANA","0620","BERGAMO","012","LOMBARDIA","03",1518,1539,3057,1099,1118,2217,72.52,1,"TAGLIAFERRI","SAMANTHA",1199,55.3,"S",1,"CAMBIAMO CASTIONE",1199,55.3
"030120620","016064","C324","CASTIONE DELLA PRESOLANA","0620","BERGAMO","012","LOMBARDIA","03",1518,1539,3057,1099,1118,2217,72.52,2,"LA ROSA","LEONARDO",969,44.7,NA,2,"CASTIONE COMUNITA' E FUTURO",969,44.7
"030151620","017171","H838","SAN FELICE DEL BENACO","1620","BRESCIA","015","LOMBARDIA","03",1499,1426,2925,908,822,1730,59.15,3,"MANOVALI","MARZIA",816,47.92,"S",3,"CIVICA PER SAN FELICE",816,47.92
"030151620","017171","H838","SAN FELICE DEL BENACO","1620","BRESCIA","015","LOMBARDIA","03",1499,1426,2925,908,822,1730,59.15,2,"MARSILETTI","GIANLUIGI",546,32.06,NA,2,"NUOVO IMPEGNO CIVICO",546,32.06
"030151620","017171","H838","SAN FELICE DEL BENACO","1620","BRESCIA","015","LOMBARDIA","03",1499,1426,2925,908,822,1730,59.15,1,"SERAFINI","LUCA ",341,20.02,NA,1,"CIVICA PER PASSIONE",341,20.02
"030240130","013013","A476","ASSO","0130","COMO","024","LOMBARDIA","03",1442,1446,2888,765,733,1498,51.87,1,"DONADINI PINA","MIRKO",770,53.32,"S",1,"SIAMO ASSO",770,53.32
"030240130","013013","A476","ASSO","0130","COMO","024","LOMBARDIA","03",1442,1446,2888,765,733,1498,51.87,2,"ACETI","TIZIANO",674,46.68,NA,2,"RINNOVIAMO ASSO LA VALLATEGNA",674,46.68
"030240230","013023","A870","BINAGO","0230","COMO","024","LOMBARDIA","03",2184,2186,4370,1093,1049,2142,49.02,1,"AMONINI","DAVIDE",988,47.43,"S",1,"UNITI PER BINAGO",988,47.43
"030240230","013023","A870","BINAGO","0230","COMO","024","LOMBARDIA","03",2184,2186,4370,1093,1049,2142,49.02,2,"VITULO","MARICLA",729,35,NA,2,"ESPERIENZA E RINNOVAMENTO",729,35
"030240230","013023","A870","BINAGO","0230","COMO","024","LOMBARDIA","03",2184,2186,4370,1093,1049,2142,49.02,3,"BRAI","MARIA LUISA",366,17.57,NA,3,"FRATELLI D'ITALIA - BINAGO IN MOVIMENTO",366,17.57
"030240650","013068","C724","CIRIMIDO","0650","COMO","024","LOMBARDIA","03",817,833,1650,385,359,744,45.09,1,"GALLI","MARIO ANTONIO",692,100,"S",1,"INSIEME PER CIRIMIDO",692,100
"030260860","019089","H815","SAN DANIELE PO","0860","CREMONA","026","LOMBARDIA","03",716,720,1436,388,388,776,54.04,2,"CADENAZZI","SIMONE",467,61.13,"S",2,"PROGETTO COMUNE",467,61.13
"030260860","019089","H815","SAN DANIELE PO","0860","CREMONA","026","LOMBARDIA","03",716,720,1436,388,388,776,54.04,1,"PATERNAZZI","PIERANTONIO",297,38.87,NA,1,"CONOSCERE PER RIPARTIRE",297,38.87
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,4,"COLOMBO","PAOLA LORENA",6187,37.25,NA,11,"PARTITO DEMOCRATICO",3911,26.16
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,4,"COLOMBO","PAOLA LORENA",6187,37.25,NA,13,"ALLEANZA VERDI E SINISTRA - CERNUSCO POSSIBILE",971,6.49
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,4,"COLOMBO","PAOLA LORENA",6187,37.25,NA,12,"TUTTI PER CERNUSCO",826,5.53
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,2,"MEREGHETTI","CLAUDIO",6003,36.14,NA,6,"FRATELLI D'ITALIA",1782,11.92
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,2,"MEREGHETTI","CLAUDIO",6003,36.14,NA,5,"FORZA ITALIA - NOI MODERATI - PPE",1179,7.89
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,2,"MEREGHETTI","CLAUDIO",6003,36.14,NA,3,"DIMENSIONE CERNUSCO",944,6.31
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,2,"MEREGHETTI","CLAUDIO",6003,36.14,NA,4,"CERNUSCO AL CENTRO",796,5.32
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,2,"MEREGHETTI","CLAUDIO",6003,36.14,NA,7,"LEGA",732,4.9
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,1,"RADAELLI","DANILO",3714,22.36,NA,2,"VIVERE CERNUSCO",2421,16.19
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,1,"RADAELLI","DANILO",3714,22.36,NA,1,"ADESSO",730,4.88
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,3,"TEDESCO","VALENTINA",706,4.25,NA,8,"MOVIMENTO 5 STELLE",235,1.57
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,3,"TEDESCO","VALENTINA",706,4.25,NA,10,"SINISTRA PER CERNUSCO",218,1.46
"030490700","015070","C523","CERNUSCO SUL NAVIGLIO","0700","MILANO","049","LOMBARDIA","03",14734,13670,28404,8746,8084,16830,59.25,3,"TEDESCO","VALENTINA",706,4.25,NA,9,"LA CITTA' IN COMUNE",205,1.37
"030491580","015159","G078","OPERA","1580","MILANO","049","LOMBARDIA","03",6122,5595,11717,3894,3352,7246,61.84,1,"FUSCO","ETTORE",4581,64.29,"S",1,"NOI MODERATI-LEGA-FRATELLI D'ITALIA-FORZA ITALIA-PPE",4581,64.29
"030491580","015159","G078","OPERA","1580","MILANO","049","LOMBARDIA","03",6122,5595,11717,3894,3352,7246,61.84,2,"CALCAGNO","GIUSEPPE",1751,24.58,NA,2,"PARTITO DEMOCRATICO-ITALIA VIVA-INDIPENDENTI CENTROSINISTRA DEL FARE",1751,24.58
"030491580","015159","G078","OPERA","1580","MILANO","049","LOMBARDIA","03",6122,5595,11717,3894,3352,7246,61.84,3,"DI PINO","FABIANA",793,11.13,NA,3,"OPERA PRIMA",793,11.13
"030491820","015183","H371","ROBECCHETTO CON INDUNO","1820","MILANO","049","LOMBARDIA","03",2065,2013,4078,1185,1133,2318,56.84,1,"COGNETTA","VALENTINA",1344,59.63,"S",1,"ROBECCHETTO E MALVAGLIO INSIEME!",1344,59.63
"030491820","015183","H371","ROBECCHETTO CON INDUNO","1820","MILANO","049","LOMBARDIA","03",2065,2013,4078,1185,1133,2318,56.84,2,"BARATTA","ANNALISA",910,40.37,NA,2,"CIVITAS",910,40.37
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,1,"FERRETTI DE LUCA","MATTIA",10124,67.48,"S",4,"ROZZANO PER FERRETTI SINDACO",3442,24.42
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,1,"FERRETTI DE LUCA","MATTIA",10124,67.48,"S",1,"FORZA ITALIA - PPE",1939,13.76
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,1,"FERRETTI DE LUCA","MATTIA",10124,67.48,"S",3,"FRATELLI D'ITALIA",1670,11.85
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,1,"FERRETTI DE LUCA","MATTIA",10124,67.48,"S",2,"ALLEANZA PER ROZZANO",1645,11.67
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,1,"FERRETTI DE LUCA","MATTIA",10124,67.48,"S",5,"LEGA",903,6.41
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,2,"MISSI","LEONE ANTONIO",4878,32.52,"C",6,"PARTITO DEMOCRATICO",2214,15.71
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,2,"MISSI","LEONE ANTONIO",4878,32.52,"C",8,"ROZZANO PER MISSI SINDACO",970,6.88
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,2,"MISSI","LEONE ANTONIO",4878,32.52,"C",7,"ALLEANZA VERDI E SINISTRA",776,5.51
"030491880","015189","H623","ROZZANO","1880","MILANO","049","LOMBARDIA","03",16408,15179,31587,8306,7171,15477,49,2,"MISSI","LEONE ANTONIO",4878,32.52,"C",9,"MOVIMENTO 5 STELLE",534,3.79
