"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc_affluenza","pos_candidato","cognome","nome","voti_candidato","perc_candidato","eletto","pos_lista","nome_lista","voti_lista","perc_lista"
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,2,"MOSCATELLI","CARLO",7725,50.56,"S",9,"ITALIA VIVA",426,2.94
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,1,"VILLA","ANDREA",6261,40.98,"C",4,"FRATELLI D'ITALIA",2750,19
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,1,"VILLA","ANDREA",6261,40.98,"C",1,"LEGA",2276,15.73
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,1,"VILLA","ANDREA",6261,40.98,"C",2,"FORZA ITALIA - PPE - UNIONE DI CENTRO",676,4.67
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,1,"VILLA","ANDREA",6261,40.98,"C",5,"PLI - LOMBARDIA IDEALE - SOVRANISTI PER DESIO",258,1.78
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,1,"VILLA","ANDREA",6261,40.98,"C",3,"MOVIMENTO INDIPENDENZA",40,0.28
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,4,"PIUMATTI","MARIA ANGELA",709,4.64,"C",13,"DESIO BENE COMUNE-MOVIMENTO 5 STELLE - LA SINISTRA",703,4.86
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,3,"ALBERTI","ALESSIO",585,3.83,NA,12,"DESIO POPOLARE",341,2.36
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,3,"ALBERTI","ALESSIO",585,3.83,NA,11,"AZIONE CON CALENDA - PRI",144,1
"050100460","025046","I063","SAN NICOLO' DI COMELICO","0460","BELLUNO","010","VENETO","05",149,157,306,109,112,221,72.22,1,"DE RIGO CROMARO","DAVIDE",204,100,"S",1,"OBIETTIVO IN COMUNE",204,100
"050100560","025056","I866","SOSPIROLO","0560","BELLUNO","010","VENETO","05",1297,1246,2543,740,696,1436,56.47,1,"CADORE","LIVIA",1404,100,"S",1,"PROGETTO SOSPIROLO",1404,100
"050540590","028059","G167","OSPEDALETTO EUGANEO","0590","PADOVA","054","VENETO","05",2424,2394,4818,1528,1546,3074,63.8,3,"VIGATO","FABIO",1233,41.35,"S",3,"RINASCITA CIVICA",1233,41.35
"050540590","028059","G167","OSPEDALETTO EUGANEO","0590","PADOVA","054","VENETO","05",2424,2394,4818,1528,1546,3074,63.8,1,"SCAPIN","GIACOMO",894,29.98,NA,1,"COMUNE E CITTADINI",894,29.98
"050540590","028059","G167","OSPEDALETTO EUGANEO","0590","PADOVA","054","VENETO","05",2424,2394,4818,1528,1546,3074,63.8,2,"GALLO","STEFANO",560,18.78,NA,2,"PASSIONE COMUNE",560,18.78
"050540590","028059","G167","OSPEDALETTO EUGANEO","0590","PADOVA","054","VENETO","05",2424,2394,4818,1528,1546,3074,63.8,4,"MASIERO","SEVERINA",295,9.89,NA,4,"VOLTIAMO PAGINA",295,9.89
"050710391","029052","G926","PORTO VIRO","0391","ROVIGO","071","VENETO","05",6328,6118,12446,3553,3410,6963,55.95,4,"MANTOVAN","MARIO",2530,38.63,"S",4,"VIVA PORTO VIRO",2530,38.63
"050710391","029052","G926","PORTO VIRO","0391","ROVIGO","071","VENETO","05",6328,6118,12446,3553,3410,6963,55.95,3,"PERMUNIAN","STEFANO",2523,38.52,NA,3,"FRATELLI D'ITALIA-LEGA SALVINI PREMIER-FORZA ITALIA-PPE-UDC",2523,38.52
"050710391","029052","G926","PORTO VIRO","0391","ROVIGO","071","VENETO","05",6328,6118,12446,3553,3410,6963,55.95,1,"PANIZZO","ARMIDA",1047,15.99,NA,1,"PORTO VIRO AL CENTRO",1047,15.99
"050710391","029052","G926","PORTO VIRO","0391","ROVIGO","071","VENETO","05",6328,6118,12446,3553,3410,6963,55.95,2,"GIACON","THOMAS",449,6.86,NA,2,"#PORTOVIRO SEI TU!",449,6.86
"050840040","026004","B061","BORSO DEL GRAPPA","0040","TREVISO","084","VENETO","05",2679,2728,5407,1316,1305,2621,48.47,1,"RAVAGNOLO","FIORELLA",1376,54.26,"S",1,"BORSO CON FIORELLA",1376,54.26
"050840040","026004","B061","BORSO DEL GRAPPA","0040","TREVISO","084","VENETO","05",2679,2728,5407,1316,1305,2621,48.47,2,"CELOTTO","LISA",1160,45.74,NA,2,"LEGA SALVINI-FRATELLI D'ITALIA",1160,45.74
"050870130","027013","D415","ERACLEA","0130","VENEZIA","087","VENETO","05",5279,5206,10485,2752,2769,5521,52.66,4,"ZANCHIN","NADIA",1990,37.24,"S",4,"LEGA SALVINI-FRATELLI D'ITALIA-NOI MODERATI",1990,37.24
"050870130","027013","D415","ERACLEA","0130","VENEZIA","087","VENETO","05",5279,5206,10485,2752,2769,5521,52.66,1,"BIONDI","DANILO",1505,28.16,NA,1,"PROGETTO COMUNE",1505,28.16
"050870130","027013","D415","ERACLEA","0130","VENEZIA","087","VENETO","05",5279,5206,10485,2752,2769,5521,52.66,2,"DORETTO","VALENTINA",1447,27.08,NA,2,"UN'ALTRA ERACLEA",1447,27.08
"050870130","027013","D415","ERACLEA","0130","VENEZIA","087","VENETO","05",5279,5206,10485,2752,2769,5521,52.66,3,"PERIN","FLAVIO",402,7.52,NA,3,"ERACLEA INSIEME SI CRESCE",402,7.52
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,3,"ARPI","ALESSANDRO",4016,52.18,"S",6,"GENERAZIONI PER CRESCERE-CORAGGIO ITALIA",1307,17.73
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,3,"ARPI","ALESSANDRO",4016,52.18,"S",8,"INDIPENDENZA VENETA",1209,16.4
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,3,"ARPI","ALESSANDRO",4016,52.18,"S",5,"FRATELLI D'ITALIA",908,12.32
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,3,"ARPI","ALESSANDRO",4016,52.18,"S",7,"LEGA SALVINI",502,6.81
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,2,"ROCCHI","NATASCIA",2279,29.61,"C",2,"FORZA ITALIA-PPE-LISTA SALESE",1240,16.82
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,2,"ROCCHI","NATASCIA",2279,29.61,"C",3,"ALTERNATIVA CIVICA",511,6.93
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,2,"ROCCHI","NATASCIA",2279,29.61,"C",4,"PROGETTO RINASCITA COMUNE",353,4.79
"050870350","027035","I242","SANTA MARIA DI SALA","0350","VENEZIA","087","VENETO","05",7483,7461,14944,4004,4001,8005,53.57,1,"IOVINE","MASSIMO",1401,18.2,"C",1,"CIVICA INSIEME-PARTITO DEMOCRATICO-MOVIMENTO 5 STELLE-ALLEANZA VERDI E SINISTRA",1343,18.22
"050890080","023008","A837","BEVILACQUA","0080","VERONA","089","VENETO","05",725,777,1502,415,422,837,55.73,2,"GRAZIA","MARCO ALESSANDRO",426,52.4,"S",2,"PROGETTO COMUNE PER BEVILACQUA E MAREGA",426,52.4
"050890080","023008","A837","BEVILACQUA","0080","VERONA","089","VENETO","05",725,777,1502,415,422,837,55.73,1,"ARZENTON","MAURIZIO",387,47.6,NA,1,"INSIEME PER AMMINISTRARE BEVILACQUA E MAREGA",387,47.6
"050890200","023020","C041","CASTAGNARO","0200","VERONA","089","VENETO","05",1609,1541,3150,931,935,1866,59.24,2,"MODENESE","JONATHAN",540,29.95,"S",2,"PROGETTO CIVICO PER CASTAGNARO E MENA'",540,29.95
"050890200","023020","C041","CASTAGNARO","0200","VERONA","089","VENETO","05",1609,1541,3150,931,935,1866,59.24,1,"FORMIGARO","CHRISTIAN",537,29.78,NA,1,"CIVICA TERRITORIO E FUTURO CASTAGNARO MENA'",537,29.78
"050890200","023020","C041","CASTAGNARO","0200","VERONA","089","VENETO","05",1609,1541,3150,931,935,1866,59.24,4,"SORDO","MICHELE",415,23.02,NA,4,"COMPETENZA ED ESPERIENZA VERSO IL DOMANI",415,23.02
"050890200","023020","C041","CASTAGNARO","0200","VERONA","089","VENETO","05",1609,1541,3150,931,935,1866,59.24,3,"SORDO","LUCA",311,17.25,NA,3,"ARIA NUOVA",311,17.25
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,1,"SALIS","SILVIA",124720,51.48,"S",1,"PARTITO DEMOCRATICO",65960,29.06
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,1,"SALIS","SILVIA",124720,51.48,"S",3,"SILVIA SALIS SINDACA",18853,8.31
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,1,"SALIS","SILVIA",124720,51.48,"S",2,"ALLEANZA VERDI E SINISTRA",15705,6.92
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,1,"SALIS","SILVIA",124720,51.48,"S",5,"MOVIMENTO 5 STELLE",11583,5.1
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,1,"SALIS","SILVIA",124720,51.48,"S",4,"RIFORMIAMO GENOVA",5405,2.38
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",13,"FRATELLI D'ITALIA",28234,12.44
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",11,"PICIOCCHI SINDACO VINCE GENOVA",24237,10.68
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",8,"NOI MODERATI - BUCCI - ORGOGLIO GENOVA",17806,7.84
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",9,"LEGA",15757,6.94
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",10,"FORZA ITALIA - PPE",8589,3.78
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",14,"NPSI-DEMOCRAZIA CRISTIANA",3752,1.65
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,4,"PICIOCCHI","PIETRO",107091,44.2,"C",12,"UDC",1189,0.52
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,6,"CRUCIOLI","MATTIA",3502,1.45,NA,16,"UNITI PER LA COSTITUZIONE",3382,1.49
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,5,"MARRAS","ANTONELLA",3131,1.29,NA,15,"SINISTRA ALTERNATIVA - PCI-RIFONDAZIONE COMUNISTA-SINISTRA ANTICAPITALISTA",2954,1.3
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,3,"TOSCANO","FRANCESCO",1917,0.79,NA,7,"DEMOCRAZIA SOVRANA POPOLARE",1834,0.81
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,2,"GUALCO","RAFFAELLA",1248,0.52,NA,6,"GENOVA UNITA",1138,0.5
"070340250","010025","D969","GENOVA","0250","GENOVA","034","LIGURIA","07",253797,226177,479974,131746,117369,249115,51.9,7,"RONZITTI","CINZIA",651,0.27,NA,17,"PARTITO COMUNISTA DEI LAVORATORI",619,0.27
"070340420","010042","G093","ORERO","0420","GENOVA","034","LIGURIA","07",263,264,527,154,169,323,61.29,4,"CAVAGNARO","ROSA",166,52.2,"S",4,"VIVERE ORERO",166,52.2
"070340420","010042","G093","ORERO","0420","GENOVA","034","LIGURIA","07",263,264,527,154,169,323,61.29,5,"GUAINAZZO","CARLO",150,47.17,NA,5,"INSIEME PER ORERO",150,47.17
"070340420","010042","G093","ORERO","0420","GENOVA","034","LIGURIA","07",263,264,527,154,169,323,61.29,2,"MACCARONE","DARIO",1,0.31,NA,2,"DMS MOVIMENTO DEMOCRAZIA SOCIALE",1,0.31
"070340420","010042","G093","ORERO","0420","GENOVA","034","LIGURIA","07",263,264,527,154,169,323,61.29,3,"BESSI","MARIA-REMEDIOS",1,0.31,NA,3,"FIAMMA TRICOLORE",1,0.31
"070340420","010042","G093","ORERO","0420","GENOVA","034","LIGURIA","07",263,264,527,154,169,323,61.29,1,"ERRICHIELLO","NICOLA",0,0,NA,1,"PROGETTO POPOLARE",0,0
"070340510","010051","H581","ROSSIGLIONE","0510","GENOVA","034","LIGURIA","07",1045,975,2020,622,586,1208,59.8,1,"PERUZZO","OMAR",1139,100,"S",1,"INSIEME PER CRESCERE ROSSIGLIONE",1139,100
"070370590","008063","L599","VALLECROSIA","0590","IMPERIA","037","LIGURIA","07",3161,2944,6105,1625,1481,3106,50.88,1,"PERRI","FABIO",1561,52.56,"S",1,"LA TUA VALLECROSIA",1561,52.56
"070370590","008063","L599","VALLECROSIA","0590","IMPERIA","037","LIGURIA","07",3161,2944,6105,1625,1481,3106,50.88,2,"PIARDI","MARILENA",1409,47.44,NA,2,"CITTADINI IN COMUNE",1409,47.44
"070740550","009055","I453","SASSELLO","0550","SAVONA","074","LIGURIA","07",726,762,1488,435,454,889,59.74,1,"SCASSO","GIAN MARCO",787,100,"S",1,"LA NUOVA VIA",787,100
"080320020","040003","A809","BERTINORO","0020","FORLI'-CESENA","032","EMILIA-ROMAGNA","08",4587,4433,9020,2097,2024,4121,45.69,2,"SCOGLI","FILIPPO",2521,62.85,"S",2,"INSIEME PER BERTINORO",2521,62.85
"080320020","040003","A809","BERTINORO","0020","FORLI'-CESENA","032","EMILIA-ROMAGNA","08",4587,4433,9020,2097,2024,4121,45.69,1,"BERNAROLI","GIORGIO",1490,37.15,NA,1,"VOLTARE PAGINA",1490,37.15
"080500380","036039","I133","SAN PROSPERO","0380","MODENA","050","EMILIA-ROMAGNA","08",2381,2393,4774,1418,1383,2801,58.67,2,"BORGHI","SAURO",1443,52.32,"S",2,"SAN PROSPERO 2030",1443,52.32
"080500380","036039","I133","SAN PROSPERO","0380","MODENA","050","EMILIA-ROMAGNA","08",2381,2393,4774,1418,1383,2801,58.67,1,"FONTANA","BRUNO",735,26.65,NA,1,"SAN PROSPERO PER IL CAMBIAMENTO",735,26.65
"080500380","036039","I133","SAN PROSPERO","0380","MODENA","050","EMILIA-ROMAGNA","08",2381,2393,4774,1418,1383,2801,58.67,3,"BARALDI","EVA",580,21.03,NA,3,"UN COMUNE PER TUTTI",580,21.03
"080560160","034016","D685","FONTEVIVO","0160","PARMA","056","EMILIA-ROMAGNA","08",2124,2163,4287,1325,1277,2602,60.7,1,"RUSCA","MARIAVITTORIA",1407,55.07,"S",1,"FORZA ITALIA-PPE-FRATELLI D'ITALIA-LEGA SALVINI-LISTA FIAZZA",1407,55.07
"080560160","034016","D685","FONTEVIVO","0160","PARMA","056","EMILIA-ROMAGNA","08",2124,2163,4287,1325,1277,2602,60.7,2,"MORONI","FABIO",1148,44.93,NA,2,"FONTEVIVO INSIEME",1148,44.93
"080560450","034045","L672","VARANO DE' MELEGARI","0450","PARMA","056","EMILIA-ROMAGNA","08",1097,1076,2173,786,769,1555,71.56,2,"GABELLI","CRISTINA",783,51.68,"S",2,"VARANO INSIEME",783,51.68
"080560450","034045","L672","VARANO DE' MELEGARI","0450","PARMA","056","EMILIA-ROMAGNA","08",1097,1076,2173,786,769,1555,71.56,1,"RESTIANI","GIUSEPPE",732,48.32,NA,1,"VARANO NEL CUORE",732,48.32
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,7,"BARATTONI","ALESSANDRO",35759,58.15,"S",15,"PARTITO DEMOCRATICO",23739,40
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,7,"BARATTONI","ALESSANDRO",35759,58.15,"S",14,"MOVIMENTO 5 STELLE",2627,4.43
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,7,"BARATTONI","ALESSANDRO",35759,58.15,"S",18,"ALLEANZA VERDI E SINISTRA",2578,4.34
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,7,"BARATTONI","ALESSANDRO",35759,58.15,"S",17,"PARTITO REPUBBLICANO ITALIANO",2508,4.23
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,7,"BARATTONI","ALESSANDRO",35759,58.15,"S",13,"AMA RAVENNA",2174,3.66
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,7,"BARATTONI","ALESSANDRO",35759,58.15,"S",16,"PROGETTO RAVENNA",1441,2.43
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,2,"GRANDI","NICOLA",15405,25.05,"C",2,"FRATELLI D'ITALIA",9958,16.78
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,2,"GRANDI","NICOLA",15405,25.05,"C",3,"FORZA ITALIA - PPE",2845,4.79
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,2,"GRANDI","NICOLA",15405,25.05,"C",4,"VIVA RAVENNA",1688,2.84
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,6,"ANCISI","ALVARO",3976,6.47,"C",11,"LEGA-IL POPOLO DELLA FAMIGLIA-LISTA PER RAVENNA",3318,5.59
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,6,"ANCISI","ALVARO",3976,6.47,"C",12,"AMBIENTE E ANIMALI",492,0.83
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,5,"VERLICCHI","VERONICA",2704,4.4,"C",10,"LA PIGNA",2579,4.35
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,4,"IANNUCCI","MARISA",1859,3.02,NA,7,"RIFONDAZIONE COMUNISTA",561,0.95
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,4,"IANNUCCI","MARISA",1859,3.02,NA,8,"POTERE AL POPOLO!",414,0.7
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,4,"IANNUCCI","MARISA",1859,3.02,NA,6,"RAVENNA IN COMUNE",372,0.63
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,4,"IANNUCCI","MARISA",1859,3.02,NA,9,"PARTITO COMUNISTA ITALIANO",287,0.48
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,1,"MISEROCCHI ","MAURIZIO",895,1.46,NA,1,"RAVENNA AL CENTRO",892,1.5
"080660140","039014","H199","RAVENNA","0140","RAVENNA","066","EMILIA-ROMAGNA","08",65446,61442,126888,32691,30186,62877,49.55,3,"MORGESE","GIOVANNI",893,1.45,NA,5,"DC DEMOCRAZIA CRISTIANA",881,1.48
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,1,"STOPPINI","VALTER",7527,51.63,"S",3,"PARTITO DEMOCRATICO",1726,12.88
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,1,"STOPPINI","VALTER",7527,51.63,"S",5,"VALTER STOPPINI PER ASSISI",1657,12.36
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,1,"STOPPINI","VALTER",7527,51.63,"S",1,"ASSISI DOMANI",1517,11.32
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,1,"STOPPINI","VALTER",7527,51.63,"S",2,"ASSISI CIVICA",1008,7.52
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,1,"STOPPINI","VALTER",7527,51.63,"S",4,"PROGRESSISTI PER ASSISI-MOVIMENTO 5 STELLE-RIFONDAZIONE COMUNISTA",895,6.68
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,2,"CICOGNA","EOLO",7053,48.37,"C",10,"FRATELLI D'ITALIA",1784,13.31
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,2,"CICOGNA","EOLO",7053,48.37,"C",6,"ASSISI AL CENTRO",1749,13.05
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,2,"CICOGNA","EOLO",7053,48.37,"C",8,"EOLO CICOGNA SINDACO",1691,12.62
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,2,"CICOGNA","EOLO",7053,48.37,"C",7,"FORZA ITALIA - PPE",951,7.1
"100580010","054001","A475","ASSISI","0010","PERUGIA","058","UMBRIA","10",11953,11268,23221,7637,7307,14944,64.36,2,"CICOGNA","EOLO",7053,48.37,"C",9,"LEGA",423,3.16
"100580320","054032","F629","MONTE SANTA MARIA TIBERINA","0320","PERUGIA","058","UMBRIA","10",454,487,941,290,339,629,66.84,2,"MANCINI","RINALDO",452,73.38,"S",2,"UN IMPEGNO COMUNE",452,73.38
"100580320","054032","F629","MONTE SANTA MARIA TIBERINA","0320","PERUGIA","058","UMBRIA","10",454,487,941,290,339,629,66.84,3,"RIGNANESE","FRANCESCO ALGERI",145,23.54,NA,3,"UNITI PER CAMBIARE",145,23.54
"100580320","054032","F629","MONTE SANTA MARIA TIBERINA","0320","PERUGIA","058","UMBRIA","10",454,487,941,290,339,629,66.84,1,"GORINI","GIORGIA",19,3.08,NA,1,"UMBRIA AUTONOMA",19,3.08
"100800040","055004","A262","AMELIA","0040","TERNI","080","UMBRIA","10",4933,4869,9802,3160,3107,6267,63.94,1,"PROIETTI SCORSONI","AVIO",3377,54.94,"S",1,"PER AMELIA",3377,54.94
"100800040","055004","A262","AMELIA","0040","TERNI","080","UMBRIA","10",4933,4869,9802,3160,3107,6267,63.94,2,"PETRARCA","POMPEO",2770,45.06,NA,2,"AMELIA UN PATTO AVANTI",2770,45.06
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",8,"PARTITO DEMOCRATICO",2715,18.42
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",7,"MICHELA GLORIO SINDACO",2537,17.21
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",11,"ECOLOGIA E FUTURO",837,5.68
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",9,"ENERGIA NUOVA",807,5.47
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",13,"UNITI PER MICHELA GLORIO",475,3.22
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",12,"OSIAMO",418,2.84
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",14,"MOVIMENTO 5 STELLE",401,2.72
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,3,"GLORIO","MICHELA",9395,57.37,"S",10,"POPOLARI PER OSIMO",333,2.26
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,2,"PIRANI","FRANCESCO",4947,30.21,"C",5,"PIRANI SINDACO",2812,19.08
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,2,"PIRANI","FRANCESCO",4947,30.21,"C",4,"OSIMO AL CENTRO",870,5.9
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,2,"PIRANI","FRANCESCO",4947,30.21,"C",6,"PROGETTO OSIMO",644,4.37
"110030340","042034","G157","OSIMO","0340","ANCONA","003","MARCHE","11",16334,15732,32066,8516,8288,16804,52.4,1,"STAFFOLANI","MICHELA",2033,12.42,"C",2,"FRATELLI D'ITALIA",1328,9.01
